长江三角洲 三角洲
鸡 家禽
瓶子 容器
杯子 容器
花瓶 容器
碗 容器
保温杯 容器
被褥 寝具
枕头 寝具
清朝 封建王朝
明代 封建王朝
殿下 尊称
阁下 尊称
千金 尊称
师傅 尊称
猪 属相
马 属相
鼠 属相
鸡 属相
蛇 属相
羊 属相
龙 属相
猴 属相
兔 属相
狗 属相
虎 属相
牛 属相
华山 山
昆仑山 山
峨眉山 山
长白山 山
武当山 山
嵩山 山
喜马拉雅山 山
庐山 山
天山 山
黄山 山
服务员 工作
作家 工作
公务员 工作
白领 工作
销售 工作
出纳 工作
总监 工作
演员 工作
经纪人 工作
校长 工作
医生 工作
商贩 工作
教师 工作
护士 工作
经理 工作
工程师 工作
秘书 工作
会计 工作
清洁工 工作
董事长 工作
导演 工作
收银员 工作
翻译 工作
工人 工作
琉璃 工艺品
竹编 工艺品
蜀绣 工艺品
漆器 工艺品
竹雕 工艺品
剪纸 工艺品
唐三彩 工艺品
青铜器 工艺品
木雕 工艺品
玉雕 工艺品
刺绣 工艺品
牙雕 工艺品
景泰蓝 工艺品
苏绣 工艺品
小麦 庄稼
高粱 庄稼
秧苗 庄稼
高祖 庙号
太祖 庙号
发射台 建筑
客厅 建筑
高楼 建筑
海口 建筑
飞机场 建筑
纪念堂 建筑
布告栏 建筑
纪念馆 建筑
道岔 建筑
城门 建筑
楼宇 建筑
中南海 建筑
舞台 建筑
乐园 建筑
圣地 建筑
据点 建筑
变电所 建筑
伙房 建筑
广播站 建筑
鱼塘 建筑
电梯 建筑
平炉 建筑
居室 建筑
水库 建筑
空港 建筑
总统府 建筑
寺院 建筑
坟 建筑
工作室 建筑
营区 建筑
孔庙 建筑
灯标 建筑
水坝 建筑
钓鱼台 建筑
渔港 建筑
掩体 建筑
军港 建筑
厅房 建筑
殿堂 建筑
传媒 建筑
空间站 建筑
服务站 建筑
海港 建筑
新居 建筑
仓库 建筑
官邸 建筑
花圃 建筑
演习场 建筑
书房 建筑
宅地 建筑
牌坊 建筑
防空洞 建筑
障碍物 建筑
别墅 建筑
设施 建筑
动物园 建筑
通信网 建筑
坟墓 建筑
高炉 建筑
焚化炉 建筑
田径场 建筑
病房 建筑
壁垒 建筑
大会堂 建筑
网路 建筑
克里姆林宫 建筑
大楼 建筑
课室 建筑
滑雪场 建筑
水闸 建筑
手术室 建筑
电话网 建筑
船舱 建筑
金字塔 建筑
支线 建筑
陷阱 建筑
墓穴 建筑
发射场 建筑
棒球场 建筑
井架 建筑
大堂 建筑
垸 建筑
后台 建筑
粮库 建筑
植物园 建筑
宿舍 建筑
捷运 建筑
堡垒 建筑
灶 建筑
游泳池 建筑
闺阁 建筑
浴室 建筑
停车场 建筑
停机坪 建筑
统舱 建筑
月台 建筑
冷宫 建筑
主席台 建筑
塔台 建筑
鱼池 建筑
农舍 建筑
堤岸 建筑
顶楼 建筑
告示牌 建筑
藏 建筑
血库 建筑
军营 建筑
工事 建筑
阁 建筑
城隍庙 建筑
商厦 建筑
寓所 建筑
布景 建筑
蓄水池 建筑
机场 建筑
堤坝 建筑
广播台 建筑
墓地 建筑
谷仓 建筑
停车位 建筑
哨所 建筑
花台 建筑
宝塔 建筑
屋 建筑
中继站 建筑
航空港 建筑
会客室 建筑
频道 建筑
摄影棚 建筑
护坡 建筑
会议厅 建筑
舱室 建筑
栏 建筑
展室 建筑
城垣 建筑
颐和园 建筑
生产线 建筑
路障 建筑
检查站 建筑
基地 建筑
投票站 建筑
屏障 建筑
大厦 建筑
礼堂 建筑
公寓 建筑
沟渠 建筑
休息室 建筑
沟 建筑
房 建筑
写字楼 建筑
港 建筑
体育场 建筑
雷达站 建筑
棚 建筑
城墙 建筑
钟楼 建筑
赛场 建筑
健身房 建筑
防火墙 建筑
电网 建筑
船闸 建筑
内线 建筑
车库 建筑
民宅 建筑
场地 建筑
喷泉 建筑
蜂巢 建筑
府 建筑
足球场 建筑
山庄 建筑
秘室 建筑
展览厅 建筑
良港 建筑
站台 建筑
油库 建筑
砖厂 建筑
大堤 建筑
大棚 建筑
办公楼 建筑
坟场 建筑
灯塔 建筑
墓 建筑
民居 建筑
管道 建筑
教室 建筑
神社 建筑
靶场 建筑
陵园 建筑
壁 建筑
球场 建筑
楼 建筑
温室 建筑
寺庙 建筑
暖气 建筑
大坝 建筑
营地 建筑
会堂 建筑
库 建筑
大殿 建筑
塔 建筑
炮台 建筑
体育馆 建筑
媒介 建筑
网络 建筑
垃圾场 建筑
屋宇 建筑
厕所 建筑
水电站 建筑
民房 建筑
纪念碑 建筑
公厕 建筑
住宅 建筑
穴 建筑
冷气 建筑
宫殿 建筑
警卫室 建筑
终点站 建筑
商港 建筑
房舍 建筑
宗祠 建筑
聊天室 建筑
陵墓 建筑
宫廷 建筑
港埠 建筑
厂房 建筑
墓葬 建筑
白宫 建筑
口岸 建筑
园林 建筑
展览室 建筑
公园 建筑
迪斯尼 建筑
工地 建筑
桥梁 建筑
避风港 建筑
线路 建筑
闺房 建筑
河堤 建筑
营 建筑
本地网 建筑
大厅 建筑
阁楼 建筑
坑道 建筑
清真寺 建筑
广告牌 建筑
祖居 建筑
工作间 建筑
热线 建筑
操场 建筑
武器库 建筑
宽带 建筑
核反应堆 建筑
广播网 建筑
游乐场 建筑
展厅 建筑
码头 建筑
井 建筑
阅览室 建筑
楼盘 建筑
草地 建筑
深水港 建筑
庙宇 建筑
茧 建筑
洞房 建筑
机舱 建筑
电视网 建筑
专线 建筑
新房 建筑
运动场 建筑
气田 建筑
电话线 建筑
平房 建筑
堤 建筑
校舍 建筑
祖坟 建筑
房子 建筑
跳台 建筑
寺 建筑
象牙塔 建筑
大礼堂 建筑
牢房 建筑
堤防 建筑
池 建筑
自由港 建筑
海塘 建筑
公房 建筑
水塔 建筑
坝 建筑
邮筒 建筑
地下室 建筑
故居 建筑
公馆 建筑
游乐园 建筑
厢房 建筑
课堂 建筑
王宫 建筑
宝库 建筑
房屋 建筑
车站 建筑
候机楼 建筑
客房 建筑
宅院 建筑
电邮 建筑
库区 建筑
教堂 建筑
妈祖庙 建筑
茅庐 建筑
媒体 建筑
殿 建筑
壕沟 建筑
港口 建筑
草坪 建筑
火车站 建筑
航站楼 建筑
电话亭 建筑
炉 建筑
洋房 建筑
舱 建筑
黑牢 建筑
管线 建筑
楼房 建筑
画室 建筑
花园 建筑
防波堤 建筑
泊位 建筑
厨房 建筑
古琴 弦乐器
琵琶 弦乐器
大提琴 弦乐器
古筝 弦乐器
二胡 弦乐器
圆 形状
长方形 形状
方 形状
环形 形状
七律 律诗
内向 性格
枕头风 惯用语
耳朵 感官
眼睛 感官
舌头 感官
喜欢 感情
偏爱 感情
听觉 感觉
味觉 感觉
触觉 感觉
河北梆子 戏曲
昆曲 戏曲
京剧 戏曲
地道战 战术
食指 手指
中指 手指
拇指 手指
面霜 护肤品
粉底 护肤品
洗面奶 护肤品
晚霜 护肤品
乳液 护肤品
粪便 排泄物
储量 数量
工作量 数量
小说 文体
说明文 文体
楚辞 文体
散文 文体
赋 文体
骈文 文体
报告 文体
诗 文体
剧本 文体
绝句 文体
游记 文体
近体诗 文体
词 文体
杂记 文体
议论文 文体
传记 文体
诗歌 文体
古体诗 文体
杂文 文体
记叙文 文体
八股文 文体
律诗 文体
戏剧 文体
祭文 文体
钢尺 文具
橡皮 文具
笔记本 文具
签字笔 文具
铅笔 文具
文具盒 文具
尺 文具
笔 文具
钢笔 文具
墨 文房四宝
砚 文房四宝
纸 文房四宝
笔 文房四宝
闽南话 方言
粤语 方言
客家话 方言
蚂蚱 昆虫
蟑螂 昆虫
螳螂 昆虫
蛾 昆虫
苍蝇 昆虫
马蜂 昆虫
蜻蜓 昆虫
蝗虫 昆虫
牛虻 昆虫
蜉蝣 昆虫
蜜蜂 昆虫
跳蚤 昆虫
蟋蟀 昆虫
蝴蝶 昆虫
天牛 昆虫
虱子 昆虫
狮子座 星座
人马 星座
双鱼 星座
白羊座 星座
金牛座 星座
水瓶 星座
双子座 星座
水星 星球
太阳 星球
木星 星球
土星 星球
海王星 星球
天王星 星球
地球 星球
冥王星 星球
金星 星球
火星 星球
明 朝代
宋 朝代
唐 朝代
元 朝代
晋 朝代
汉 朝代
隋 朝代
清 朝代
秦 朝代
柞木 木材
橡木 木材
花榈木 木材
桦木 木材
黄连木 木材
紫檀 木材
桤木 木材
木莲 木材
椴木 木材
木麻黄 木材
黄檀 木材
水曲柳 木材
红木 木材
乌木 木材
楠木 木材
铁力木 木材
柚木 木材
沉香 木材
卡车 机动车
小轿车 机动车
塑料 材质
不锈钢 材质
木制 材质
真皮 材质
顿号 标点
问号 标点
逗号 标点
分号 标点
句号 标点
破折号 标点
引号 标点
感叹号 标点
冒号 标点
梨树 树木
红树 树木
灌木 树木
杉木 树木
银杏树 树木
行道树 树木
杨树 树木
柳树 树木
槐树 树木
梧桐 树木
马 棋子
炮 棋子
车 棋子
灵芝 植物
喇叭花 植物
凤梨 植物
白桦 植物
枣子 植物
竹 植物
竹林 植物
盆景 植物
参 植物
杂草 植物
木兰 植物
林木 植物
草丛 植物
藻类 植物
原始林 植物
梅 植物
海草 植物
棉 植物
灌木 植物
芒果树 植物
丛林 植物
菊花 植物
果子 植物
棕榈 植物
稻谷 植物
藤 植物
文旦 植物
桃花 植物
鲜花 植物
松树 植物
樱花 植物
青稞 植物
花卉 植物
杨柳 植物
树丛 植物
花草 植物
松柏 植物
谷 植物
芦荟 植物
百合 植物
兰花 植物
麦 植物
阔叶树 植物
杜鹃 植物
针叶树 植物
黍 植物
针叶林 植物
山林 植物
苹果 植物
甘蔗 植物
雨林 植物
薰衣草 植物
经济林 植物
香蕉 植物
牡丹 植物
莲 植物
草 植物
人参 植物
乔木 植物
芝麻 植物
紫荆花 植物
橄榄 植物
康乃馨 植物
菩提树 植物
海藻 植物
茄子 植物
花 植物
盆花 植物
枫树 植物
紫薇 植物
瓜 植物
香料 植物
密林 植物
西瓜 植物
李 植物
柚子 植物
玫瑰 植物
扁柏 植物
紫荆 植物
阔叶林 植物
果蔬 植物
向日葵 植物
莲花 植物
果树 植物
枸杞 植物
柏树 植物
槟榔 植物
大麻 植物
橘子 植物
椰子 植物
柑橘 植物
吊兰 植物
蒺藜 植物
果 植物
防护林 植物
油桐 植物
奇花异卉 植物
地衣 植物
蔬菜 植物
青草 植物
桂花 植物
柿子 植物
森林 植物
树林 植物
粮食 植物
黄豆 植物
桦树 植物
作物 植物
落叶松 植物
樟树 植物
榕树 植物
树木 植物
迎春 植物
大麦 植物
荔枝 植物
稻 植物
八角 植物
棉花 植物
小麦 植物
烟草 植物
桃 植物
水果 植物
农作物 植物
盆栽 植物
海菜 植物
粟 植物
庄稼 植物
禾 植物
郁金香 植物
数目 植物
枯树 植物
蓖麻油 植物油
枪支 武器
弹药 武器
刀 武器
箭 武器
砍刀 武器
手枪 武器
枪 武器
剑 武器
匕首 武器
杀虫剂 毒药
砒霜 毒药
湖笔 毛笔
高山族 民族
土家族 民族
蒙古族 民族
瑶族 民族
壮族 民族
羌族 民族
维吾尔族 民族
苗族 民族
藏族 民族
回族 民族
彝族 民族
满族 民族
侗族 民族
汉族 民族
傣族 民族
布依族 民族
白族 民族
臭 气味
香气 气味
芳香 气味
怪味 气味
酸味 气味
雪 水
漩涡 水
水柱 水
白开水 水
碧波 水
狂潮 水
涓滴 水
细雨 水
饮用水 水
大水 水
大雨 水
急流 水
水流 水
饮水 水
淡水 水
绿水 水
波涛 水
白水 水
污水 水
暴雨 水
暴风雨 水
瀑布 水
黑潮 水
甘霖 水
洪峰 水
大浪 水
骤雨 水
自来水 水
开水 水
豪雨 水
泥水 水
河水 水
洪波 水
潮水 水
低潮 水
海浪 水
卤水 水
水体 水
梅雨 水
海水 水
流水 水
雨 水
水资源 水
浪潮 水
洪水 水
地下水 水
洪流 水
雨水 水
波澜 水
波浪 水
春雨 水
涟漪 水
蜜桃 水果
西瓜 水果
西柚 水果
凤梨 水果
苹果 水果
荔枝 水果
石榴 水果
橙子 水果
猕猴桃 水果
木瓜 水果
香蕉 水果
菠萝 水果
樱桃 水果
进口车 汽车
赛车 汽车
轿车 汽车
越野车 汽车
二手车 汽车
货车 汽车
禽流感 流感
贝 海鲜
鱼 海鲜
虾 海鲜
牡蛎 海鲜
大黄鱼 海鲜
结肠 消化道
食道 消化道
壁灯 灯
手电 灯
日光灯 灯
节能灯 灯
吊灯 灯
灯笼 灯
煤油灯 灯
白炽灯 灯
落地灯 灯
照明灯 灯
油灯 灯
闪光灯 灯
电灯 灯
宫灯 灯
台灯 灯
花灯 灯
路灯 灯
荧光灯 灯
霓虹灯 灯
手电筒 灯
肾炎 炎症
关节炎 炎症
烧麦 点心
春卷 点心
锅贴 点心
松糕 点心
虾饺 点心
枣糕 点心
米糕 点心
蒸饺 点心
元宵 点心
桃酥 点心
小笼包 点心
麻花 点心
馄饨 点心
蛋卷 点心
粽子 点心
麻团 点心
节能灯 照明灯
雾灯 照明灯
手榴弹 爆炸物
雷管 爆炸物
鞭炮 爆炸物
书法 爱好
牙刷 牙具
漱口杯 牙具
牙膏 牙具
恒齿 牙齿
犬牙 牙齿
门牙 牙齿
驴 牲口
马 牲口
牛 牲口
腊肠 狗
牧羊犬 狗
藏獒 狗
雪橇犬 狗
波斯猫 猫
老玉米 玉米
积木 玩具
象棋 玩具
足球 玩具
不倒翁 玩具
风车 玩具
牌 玩具
皮球 玩具
木马 玩具
水枪 玩具
拼图 玩具
军棋 玩具
棋 玩具
羽毛球 玩具
风筝 玩具
洋娃娃 玩具
篮球 玩具
红豆糕 甜点
蛋挞 甜点
蛋糕 甜点
豆花 甜点
布丁 甜点
苹果派 甜点
植被 生物
病毒 生物
草木 生物
葫芦 生物
疟原虫 生物
动物 生物
细菌 生物
微生物 生物
植物 生物
红柳 生物
幼苗 生物
苗木 生物
花木 生物
海葵 生物
植物界 生物
马 生肖
猪 生肖
牛 生肖
龙 生肖
热水器 电器
烤箱 电器
电扇 电器
微波炉 电器
收音机 电器
冰箱 电器
电视 电器
果汁机 电器
空气净化器 电器
荧光灯 电灯
白炽灯 电灯
笔记本 电脑
负电荷 电荷
正电荷 电荷
座机 电话
手机 电话
安徽省 省
江西 省
河北 省
吉林省 省
浙江 省
广东省 省
山西 省
青海省 省
甘肃 省
湖北 省
湖南 省
台湾省 省
江苏省 省
陕西省 省
福建省 省
辽宁 省
河南 省
近视镜 眼镜
墨镜 眼镜
老花镜 眼镜
绿宝石 矿物
翡翠 矿物
电气石 矿物
竹笋 竹子
钢笔 笔
毛笔 笔
自来水笔 笔
毛笔 笔
粉笔 笔
铅笔 笔
圆珠笔 笔
路标 符号
冒号 符号
文字 符号
破折号 符号
问号 符号
减号 符号
逗号 符号
句号 符号
引号 符号
乘号 符号
感叹号 符号
顿号 符号
表情符号 符号
等号 符号
除号 符号
分号 符号
风笛 管乐器
排笛 管乐器
口琴 管乐器
小米 米
黑米 米
大米 粮食
五谷 粮食
小麦 粮食
玉米 粮食
高粱 粮食
蔗糖 糖
葡萄糖 糖
果糖 糖
光纤 网线
双绞线 网线
局域网 网络
因特网 网络
粤菜 美食
徽菜 美食
川菜 美食
海鲜 美食
中考 考试
教授 职业
编审 职业
运动员 职业
药剂师 职业
老师 职业
瓦匠 职业
公务员 职业
程序员 职业
屠夫 职业
会计 职业
主任 职务
厅长 职务
助理 职务
科员 职务
处长 职务
副教授 职称
教授 职称
工程师 职称
讲师 职称
钢管舞 舞蹈
交谊舞 舞蹈
踢踏舞 舞蹈
拉丁 舞蹈
民族舞 舞蹈
华尔兹 舞蹈
国标 舞蹈
芭蕾 舞蹈
霹雳舞 舞蹈
探戈 舞蹈
歌舞 舞蹈
街舞 舞蹈
双人舞 舞蹈
肚皮舞 舞蹈
爵士舞 舞蹈
现代舞 舞蹈
潜水艇 船
军舰 船
轮船 船
渡轮 船
货船 船
独木舟 船
渔船 船
客轮 船
快艇 船
帆船 船
暖色 色调
冷色 色调
摄影 艺术
戏曲 艺术
音乐 艺术
戏剧 艺术
美术 艺术
建筑 艺术
舞蹈 艺术
书法 艺术
国画 艺术品
唐三彩 艺术品
彩陶 艺术品
建军节 节日
中秋 节日
端午节 节日
国庆节 节日
春节 节日
重阳 节日
清明 节日
中元节 节日
青年节 节日
万圣节 节日
圣诞节 节日
妇女节 节日
母亲节 节日
元旦 节日
劳动节 节日
白露 节气
惊蛰 节气
大暑 节气
冬至 节气
小满 节气
寒露 节气
霜降 节气
处暑 节气
夏至 节气
秋分 节气
谷雨 节气
小寒 节气
小暑 节气
小雪 节气
芒种 节气
大雪 节气
立夏 节气
雨水 节气
大寒 节气
立春 节气
清明 节气
春分 节气
立秋 节气
立冬 节气
菊花 花
月季 花
牡丹 花
杜鹃花 花卉
栀子花 花卉
君子兰 花卉
海棠 花卉
芙蓉 花卉
丁香 花卉
桃花 花卉
睡莲 花卉
紫罗兰 花卉
荷花 花卉
桔梗 花卉
三色堇 花卉
腊梅 花卉
油菜花 花卉
月季 花卉
马蹄莲 花卉
绣球花 花卉
茉莉花 花卉
牡丹 花卉
矢车菊 花卉
迎春花 花卉
曼陀罗 花卉
桂花 花卉
水仙 花卉
向日葵 花卉
山茶花 花卉
梅花 花卉
长寿花 花卉
郁金香 花卉
菊花 花卉
芍药 花卉
风信子 花卉
樱花 花卉
康乃馨 花卉
昙花 花卉
梅花 花草
兰花 花草
含羞草 花草
君子兰 花草
红茶 茶叶
银针 茶叶
铁观音 茶叶
碧螺春 茶叶
龙井 茶叶
绿茶 茶叶
花茶 茶叶
乌龙茶 茶叶
普洱茶 茶叶
利血平 药物
病毒灵 药物
大麻 药物
汤药 药物
镇静药 药物
麻醉药 药物
中成药 药物
钙片 药物
当归 药物
闽菜 菜系
粤菜 菜系
川菜 菜系
苏菜 菜系
徽菜 菜系
鲁菜 菜系
湘菜 菜系
扁豆 蔬菜
豇豆 蔬菜
黄花 蔬菜
青菜 蔬菜
海带 蔬菜
白萝卜 蔬菜
马铃薯 蔬菜
豆角 蔬菜
芥菜 蔬菜
红薯 蔬菜
大葱 蔬菜
扁豆 蔬菜
茼蒿 蔬菜
苋菜 蔬菜
辣椒 蔬菜
橄榄 蔬菜
地瓜 蔬菜
南瓜 蔬菜
包菜 蔬菜
蚕豆 蔬菜
莴苣 蔬菜
藕 蔬菜
土豆 蔬菜
西芹 蔬菜
山药 蔬菜
香菇 蔬菜
竹笋 蔬菜
豌豆 蔬菜
花椰菜 蔬菜
丝瓜 蔬菜
木耳 蔬菜
菱角 蔬菜
菠菜 蔬菜
紫菜 蔬菜
秋葵 蔬菜
笋瓜 蔬菜
甜菜 蔬菜
韭菜 蔬菜
冬瓜 蔬菜
毛豆 蔬菜
蒌蒿 蔬菜
茄子 蔬菜
百合 蔬菜
萝卜 蔬菜
蘑菇 蔬菜
白菜 蔬菜
茭白 蔬菜
苦瓜 蔬菜
芹菜 蔬菜
茴香 蔬菜
香椿 蔬菜
毛细血管 血管
红细胞 血细胞
血小板 血细胞
羽绒服 衣
背心 衣
内衣 衣
内裤 衣
衬衫 衣
大衣 衣
裤子 衣
外套 衣
裙子 衣
西裤 衣
长裙 衣
大衣 衣
短袖 衣
毛衣 衣
长裤 衣
上衣 衣
西服 衣
短裙 衣
长袍 衣
短裤 衣
衬衣 衣
西装 衣物
领带 衣物
衬衫 衣物
内衣 衣物
手表 表
时钟 表
钟表 表
怀表 表
电表 表
钝角 角
锐角 角
直角 角
主角 角色
配角 角色
街头巷尾 设施
主干线 设施
梁 设施
熟路 设施
弯道 设施
华尔街 设施
干线 设施
隧道 设施
黄道 设施
巷 设施
隧洞 设施
铁路线 设施
海路 设施
歧途 设施
航线 设施
小道 设施
交通线 设施
死胡同 设施
水路 设施
国道 设施
退路 设施
铁道 设施
大桥 设施
通道 设施
芦沟桥 设施
水道 设施
陆路 设施
天桥 设施
便道 设施
单线 设施
环路 设施
大街 设施
航道 设施
巷子 设施
夹道 设施
巷道 设施
桥梁 设施
大街小巷 设施
公路 设施
马路 设施
吊桥 设施
途 设施
通路 设施
桥 设施
故道 设施
走道 设施
复线 设施
步道 设施
人行道 设施
车道 设施
道路 设施
主干道 设施
鉴定书 证书
准考证 证书
化验单 证书
户口簿 证书
量词 词性
助词 词性
代词 词性
介词 词性
语气词 词性
数词 词性
虚词 词性
连词 词性
叹词 词性
拟声词 词性
形容词 词性
名词 词性
实词 词性
动词 词性
副词 词性
古诗 诗
散文诗 诗歌
抒情诗 诗歌
叙事诗 诗歌
五言 诗歌
七律 诗歌
法语 语言
意大利语 语言
拉丁语 语言
德语 语言
日语 语言
汉语 语言
藏语 语言
英语 语言
茴香 调料
蒜 调料
胡椒 调料
八角 调料
盐 调料
蜂蜜 调料
姜 调料
花椒 调料
酱油 调料
食盐 调料
味精 调料
醋 调料
辣椒 调料
桂皮 调料
葱 调料
奴婢 谦称
高音 谱号
低音 谱号
汽油费 费用
电话费 费用
水费 费用
指路牌 路标
通票 车票
拳击 运动
散打 运动
瑜伽 运动
街舞 运动
舞蹈 运动
鸡尾酒 酒
白酒 酒
啤酒 酒
米酒 酒
葡萄酒 酒
黄酒 酒
交杯酒 酒
药酒 酒
闹钟 钟表
电子表 钟表
硬币 钱币
纸币 钱币
铜元 钱币
苦雨 雨
毛毛雨 雨
狂风暴雨 雨
梅雨 雨
肉松 零食
果冻 零食
爆米花 零食
面包 零食
杏仁 零食
果脯 零食
蜜饯 零食
巧克力 零食
糖 零食
牛肉干 零食
糖果 零食
瓜子 零食
拉面 面食
阳春面 面食
冷面 面食
卤面 面食
炸酱面 面食
炒面 面食
刀削面 面食
速食面 面食
担担面 面食
器乐 音乐
声乐 音乐
元音 音标
辅音 音标
韵母 音节
声母 音节
简答题 题型
选择题 题型
蓝色 颜色
黄色 颜色
红色 颜色
绿色 颜色
橙色 颜色
咖啡色 颜色
紫色 颜色
黑色 颜色
飓风 风
朔风 风
山风 风
台风 风
旋风 风
秋景 风景
雪景 风景
街景 风景
夜景 风景
古迹 风景
直升机 飞机
战斗机 飞机
轰炸机 飞机
专机 飞机
地沟油 食油
香油 食油
核桃油 食油
动物油 食油
植物油 食油
橄榄油 食油
芝麻油 食油
葵花籽油 食油
花生油 食油
棕榈油 食油
菜籽油 食油
清油 食油
猪油 食油
玉米油 食油
饭团 食物
伙食 食物
食品 食物
元宵 食物
松花 食物
口腹 食物
王浆 食物
菜肴 食物
可口可乐 食物
口香糖 食物
豆浆 食物
膳 食物
干粮 食物
杂碎 食物
蜂蜜 食物
饴糖 食物
粽子 食物
八宝 食物
羹 食物
冰淇淋 食物
米粉 食物
茅台 食物
卤味 食物
巧克力 食物
肉丸 食物
糕饼 食物
大锅饭 食物
小菜 食物
三明治 食物
咖啡 食物
香肠 食物
腰花 食物
果冻 食物
茶水 食物
燕麦 食物
奶茶 食物
方便面 食物
饮料 食物
零食 食物
羊肉 食物
咸鱼 食物
汤 食物
肉饼 食物
海鲜 食物
素 食物
面包 食物
红茶 食物
水粉 食物
饼干 食物
丸子 食物
干贝 食物
糖果 食物
佳酿 食物
馒头 食物
米酒 食物
蜜糖 食物
茅台酒 食物
啤酒 食物
牛肉 食物
蛋类 食物
面饼 食物
年糕 食物
菜 食物
烤肉 食物
粥 食物
茶食 食物
果汁 食物
原汁 食物
鱼翅 食物
蛋糕 食物
蛋 食物
猪肉 食物
腊肉 食物
五花肉 食物
汽水 食物
圆子 食物
矿泉水 食物
云吞 食物
肉 食物
药酒 食物
威士忌 食物
大饼 食物
包子 食物
筷子 餐具
碗 餐具
茶 饮料
红酒 饮料
酸奶 饮料
咖啡 饮料
奶茶 饮料
酒 饮料
牛奶 饮料
花茶 饮料
可乐 饮料
啤酒 饮料
太阳帽 饰品
发箍 饰品
戒指 饰品
披肩 饰品
胸章 饰品
腰带 饰品
围巾 饰品
胸针 饰品
太阳镜 饰品
发卡 饰品
耳环 饰品
手镯 饰品
发簪 饰品
手链 饰品
项链 饰品
发夹 饰品
头绳 饰品
袖扣 饰品
项链 首饰
戒指 首饰
八角 香料
桂花 香料
香茅 香料
肉桂 香料
薰衣草 香料
柑橘 香料
白兰 香料
麝香 香料
龙涎香 香料
桂皮 香料
丁香 香料
薄荷 香料
檀香 香料
青鱼 鱼
鳗鱼 鱼
鲤鱼 鱼
草鱼 鱼
鱼苗 鱼
乌鱼 鱼
鲱鱼 鱼
鳗鲡 鱼
中华鲟 鱼
鲫鱼 鱼
带鱼 鱼
鲑鱼 鱼
黄鱼 鱼
黑鱼 鱼
鲟鱼 鱼
泥鳅 鱼
黄鳝 鱼
海马 鱼
桂鱼 鱼
鲈鱼 鱼
夜莺 鸟
天鹅 鸟
蜂鸟 鸟
黑颈鹤 鸟
杜鹃 鸟
游禽 鸟
褐马鸡 鸟
企鹅 鸟
旋木雀 鸟
乌鸦 鸟
鹧鸪 鸟
织布鸟 鸟
黄鹂 鸟
相思鸟 鸟
丹顶鹤 鸟
松鸡 鸟
鸵鸟 鸟
麻雀 鸟
鹭 鸟
鹦鹉 鸟
涉禽 鸟
画眉 鸟
雉鸡 鸟
八哥 鸟
太阳鸟 鸟
啄木鸟 鸟
百灵 鸟
鸣禽 鸟
信天翁 鸟
鸳鸯 鸟
乌龟 龟
海龟 龟
